type,name,glon,glat,distance (parsecs),x (parsecs),y (parsecs),z (parsecs),radius (parsecs),log10 age (years),Arm (masers),Source
open cluster,Gulliver_56,185.664,5.915,2054.9,-2033.98038555461,-201.727593335306,211.763498427557,2.54640003014284,unknown,,2020A&A...633A..99C
open cluster,Gulliver_57,271.313,1.699,1370.5,31.3900605686479,-1369.53781192235,40.6336783030848,2.63117434656773,unknown,,2020A&A...633A..99C
open cluster,Gulliver_58,302.3,0.9,2344.2,1252.47424373596,-1981.21834129166,36.82109324237,3.02763829952143,unknown,,2020A&A...633A..99C
open cluster,Gulliver_59,304.16,-1.756,2161.7,1213.23713301237,-1787.90789188938,-66.2413707556348,6.48937007339273,unknown,,2020A&A...633A..99C
open cluster,Gulliver_6,205.246,-18.138,417.3,-358.686289012033,-169.136826400564,-129.908313936876,3.76554708536602,unknown,,2020A&A...633A..99C
open cluster,Gulliver_60,68.413,-2.639,1077.1,395.859450722364,1000.49000634938,-49.592867116198,2.0490870816738,unknown,,2020A&A...633A..99C
open cluster,Gulliver_7,276.463,-3.132,8844.8,994.097476473737,-8775.46168565768,-483.248849789157,5.24861059321138,unknown,,2020A&A...633A..99C
open cluster,Gulliver_8,173.213,-1.549,1110.3,-1102.11651267799,131.165826562243,-30.0134707214454,1.97659793796371,unknown,,2020A&A...633A..99C
open cluster,Gulliver_9,265.037,-5.429,496.5,-42.7607314239285,-492.419661685547,-46.9749575154915,8.39772804984378,unknown,,2020A&A...633A..99C
open cluster,Haffner_10,230.804,1.021,3467.9,-2191.27883375213,-2687.15629943595,61.7940543385633,1.75526207065701,9.305,,2020A&A...633A..99C
open cluster,Haffner_11,242.388,-3.539,6003.8,-2777.34453625782,-5309.86118441447,-370.602171023536,5.02973290298615,8.945,,2020A&A...633A..99C
open cluster,Haffner_13,245.035,-3.656,564.6,-237.812681493214,-510.805370300381,-36.0022526142112,3.22233515537178,7.52,,2020A&A...633A..99C
open cluster,Haffner_14,243.987,-2.082,3916.9,-1716.72064295333,-3517.77295246176,-142.300031575435,5.53739060818132,8.785,,2020A&A...633A..99C
open cluster,Haffner_15,247.946,-4.158,3741.9,-1401.31151692958,-3458.9781970641,-271.314346756094,2.02456293124671,7.28,,2020A&A...633A..99C
open cluster,Haffner_16,242.091,0.473,3104.3,-1452.97593548629,-2743.15196066626,25.6269699841897,1.67958809895218,7.3,,2020A&A...633A..99C
open cluster,Haffner_17,247.699,-2.529,3629.3,-1375.87745602853,-3354.56911192653,-160.1430276375,1.71026745924849,8.17,,2020A&A...633A..99C
open cluster,Haffner_18,243.157,0.449,4672.7,-2109.88024357854,-4169.07541499119,36.6173711924555,2.60972827000337,7.9,,2020A&A...633A..99C
open cluster,Haffner_19,243.071,0.526,5052.9,-2288.29139181226,-4504.8162169209,46.3871525793131,1.49922565415286,6.65,,2020A&A...633A..99C
open cluster,Haffner_20,246.974,-0.933,4842.4,-1893.8478297121,-4456.00279065168,-78.8497786880733,1.43676904503746,8.055,,2020A&A...633A..99C
open cluster,Haffner_21,244.846,1.636,3174.6,-1348.82230255947,-2872.37689944638,90.6338989834893,1.60680958779312,8.625,,2020A&A...633A..99C
open cluster,Haffner_22,246.783,3.366,2790.6,-1098.19744268065,-2560.18843190853,163.847276484641,3.79900467916909,9.19,,2020A&A...633A..99C
open cluster,Haffner_23,229.987,-3.729,2095.7,-1344.60141978107,-1601.69539329858,-136.298859161928,4.27949916905734,8.825,,2020A&A...633A..99C
open cluster,Haffner_26,249.623,2.328,3008.7,-1046.75197761493,-2818.09329339543,122.213653406286,3.46577513244177,8,,2020A&A...633A..99C
open cluster,Haffner_3,219.831,0.01,2448.6,-1880.37070172903,-1568.39019425696,0.427361318473637,1.79491786819879,8.6,,2020A&A...633A..99C
open cluster,Haffner_4,227.939,-3.627,3976.4,-2658.53985423515,-2946.29347392625,-251.550330834489,1.66563063444824,9.115,,2020A&A...633A..99C
open cluster,Haffner_5,236.059,-4.635,1667.2,-927.818433088827,-1378.60747457007,-134.722775654745,1.74588839554864,8.6,,2020A&A...633A..99C
open cluster,Haffner_6,227.864,0.226,4285,-2874.75278615194,-3177.53611219695,16.9018991807332,3.66458145735831,8.865,,2020A&A...633A..99C
open cluster,Haffner_7,242.677,-6.801,4384.6,-1998.39723458418,-3868.01316338675,-519.23002674453,2.44882285887319,9,,2020A&A...633A..99C
open cluster,Haffner_8,227.479,1.293,2914.1,-1969.02326518014,-2147.23128201946,65.7572254311717,2.03442591981285,9.035,,2020A&A...633A..99C
open cluster,Haffner_9,231.795,-0.586,2736,-1692.06449271007,-2149.84435321437,-27.9823062326927,1.67132749959859,8.15,,2020A&A...633A..99C
open cluster,Harvard_10,329.885,-3.365,691.3,596.957382368452,-346.252921327306,-40.5769405957603,4.27122758542245,7.97,,2020A&A...633A..99C
open cluster,Harvard_13,339.615,-4.056,1195.7,1118.00994681984,-415.451028565251,-84.5735873424434,1.62777535113685,9.285,,2020A&A...633A..99C
open cluster,Harvard_16,351.718,-1.64,1533.5,1516.88566450245,-220.803023437192,-43.8879900194141,3.53293662900916,7.94,,2020A&A...633A..99C
open cluster,Havlen_Moffat_1,348.715,-0.784,4161.1,4080.26696032401,-814.20698738243,-56.9361412978789,1.3798730651701,6.6,,2020A&A...633A..99C
open cluster,Hogg_10,290.788,0.088,2435.1,864.243158995298,-2276.57237622778,3.74004363971335,1.36001654509924,6.785,,2020A&A...633A..99C
open cluster,Hogg_15,302.048,-0.242,3385.5,1796.43027460802,-2869.53725345715,-14.2992829662522,3.78164136968226,6.6,,2020A&A...633A..99C
open cluster,Hogg_17,314.899,-0.856,2294.5,1619.41320540431,-1625.13264010986,-34.2785969913574,2.36274903666559,8.15,,2020A&A...633A..99C
open cluster,Hogg_18,320.784,6.413,1685.2,1297.46906802126,-1058.7934157235,188.227416569945,1.9706242313875,7.95,,2020A&A...633A..99C
open cluster,Hogg_19,335.08,-0.308,2513,2278.99920661727,-1058.84329677442,-13.5088531619877,2.01756614220827,9.015,,2020A&A...633A..99C
open cluster,Hogg_21,337.95,-1.45,2531.6,2345.67880249508,-950.097729996249,-64.0610566663749,1.98831439928776,7.45,,2020A&A...633A..99C
open cluster,Hogg_4,279.469,0.144,4176.9,687.156146956114,-4119.97570846465,10.4976836322969,5.61335400892744,8.3,,2020A&A...633A..99C
open cluster,IC_1311,77.705,4.18,6513.3,1383.28608361028,6346.98387646521,474.754855457822,4.4334633613444,9.15,,2020A&A...633A..99C
open cluster,IC_1369,89.606,-0.398,3436.5,23.6306700820446,3436.33584065225,-23.8711474431182,2.57906479323454,8.54,,2020A&A...633A..99C
open cluster,IC_1396,99.309,3.755,913.7,-147.481753435833,899.731175328732,59.8384035972722,4.7363232142563,6,,2020A&A...633A..99C
open cluster,IC_1434,99.951,-2.679,3253.3,-561.574988045622,3200.85489799018,-152.06033280854,5.16705683121479,8.245,,2020A&A...633A..99C
open cluster,IC_1590,123.123,-6.242,2719.4,-1477.17442500024,2263.9938810738,-295.675133525981,2.61043740414165,6.895,,2020A&A...633A..99C
open cluster,IC_166,130.052,-0.169,4909.1,-3158.90661520483,3757.70703210669,-14.4798919580369,5.14079937775181,9,,2020A&A...633A..99C
open cluster,IC_1805,134.733,0.945,2090.6,-1471.17246987054,1484.94817783763,34.479458112012,4.05015678798905,7.25,,2020A&A...633A..99C
open cluster,IC_1848,137.222,0.919,2250.9,-1651.92714342193,1528.52352721343,36.1019332012451,7.857155139005,6.85,,2020A&A...633A..99C
open cluster,IC_2157,186.34,1.243,2097,-2083.6845285577,-231.513443832814,45.4896776637247,1.72017944330929,7.9,,2020A&A...633A..99C
open cluster,IC_2391,270.386,-6.737,151.3,1.01225785153014,-150.251878808342,-17.7493168489746,2.14966072071941,8.05,,2020A&A...633A..99C
open cluster,IC_2395,266.58,-3.627,710.5,-42.2998551409178,-707.81406894176,-44.946813715397,2.59172944129129,7.27,,2020A&A...633A..99C
open cluster,IC_2488,277.812,-4.442,1338.8,181.427203234643,-1322.39102130645,-103.689906425513,5.14064822936564,8.445,,2020A&A...633A..99C
open cluster,IC_2581,284.591,0.025,2621.2,660.325689019172,-2536.66279121588,1.14371422254071,2.69916660488466,7.32,,2020A&A...633A..99C
open cluster,IC_2602,289.565,-4.955,151.8,50.6442070926774,-142.500855074337,-13.1114679207507,3.83981345794772,8.345,,2020A&A...633A..99C
open cluster,IC_2714,292.401,-1.784,1337.9,509.608514659293,-1236.34168573752,-41.6510251309537,3.99299182629889,8.65,,2020A&A...633A..99C
open cluster,IC_2948,294.97,-1.689,2400.2,1012.78900757719,-2174.90544805783,-70.7443152426801,4.39860115826745,6.6,,2020A&A...633A..99C
open cluster,IC_348,160.486,-17.81,321.7,-288.689938651486,102.309861855671,-98.3956375479871,0.539014027953095,6.78,,2020A&A...633A..99C
open cluster,IC_361,147.512,5.662,3909,-3281.17039277878,2089.37009133613,385.661088239378,4.63929676953999,8.982,,2020A&A...633A..99C
open cluster,IC_4651,340.104,-7.902,921.3,858.083444642144,-310.554116764931,-126.659514413351,3.6983550971252,9.25,,2020A&A...633A..99C
open cluster,IC_4665,30.514,17.055,345.2,284.313374262044,167.566965131141,101.243554918176,3.04866680707117,7.63,,2020A&A...633A..99C
open cluster,IC_4725 (Messier 25),13.701,-4.425,648.3,627.975138775692,153.095449136914,-50.0189817291083,2.9532274774657,7.97,,2020A&A...633A..99C
open cluster,IC_4756,36.322,5.325,471.3,378.088049603612,277.956858264373,43.7390179443462,4.39267062061871,8.79,,2020A&A...633A..99C
open cluster,IC_4996,75.37,1.308,1936.6,489.011256676409,1873.32146882061,44.2066205397082,0.946401371575299,7.15,,2020A&A...633A..99C
open cluster,IC_5146,94.383,-5.52,805,-61.2353796047592,798.923630213035,-77.4355304229739,0.955393681115297,6,,2020A&A...633A..99C
open cluster,Ivanov_4,221.858,-2.016,2602.8,-1937.36787291685,-1735.73898330793,-91.562802571753,0.863121197285511,8.3,,2020A&A...633A..99C
open cluster,Ivanov_8,254.02,0.247,8575.6,-2360.85613890727,-8244.14379700868,36.9689819595057,1.79606949026978,7.8,,2020A&A...633A..99C
open cluster,Juchert_1,47.726,-0.997,3833.9,2578.58518561409,2836.41277271613,-66.7100689877568,1.60594037053896,8.675,,2020A&A...633A..99C
open cluster,Juchert_10,315.987,-0.289,7358.9,5292.32233805469,-5113.05737532838,-37.1181455264511,5.52279351285717,8.9,,2020A&A...633A..99C
open cluster,Juchert_13,297.535,-1.75,3294.1,1522.12044935128,-2919.61031784802,-100.596916364477,2.75965940832917,9,,2020A&A...633A..99C
open cluster,Juchert_18,204.6,-1.313,5640.8,-5127.47240065128,-2347.5401515603,-129.25423541084,2.46126346735902,9.02,,2020A&A...633A..99C
open cluster,Juchert_19,149.74,-0.195,7628,-6588.62828184883,3843.91563237739,-25.9610243735547,3.32834309477637,9.3,,2020A&A...633A..99C
open cluster,Juchert_20,154.492,-3.414,2780,-2504.56721776876,1195.04657455832,-165.549800104005,1.94080644352621,8.225,,2020A&A...633A..99C
open cluster,Juchert_3,40.354,-0.701,3203.6,2441.1475913971,2074.20230556407,-39.1942930649171,1.56557442630312,6,,2020A&A...633A..99C
open cluster,Juchert_9,145.122,3.68,4650.7,-3807.43491840671,2653.93054932192,298.500370976544,1.62340061638549,6.7,,2020A&A...633A..99C
open cluster,Juchert_Saloran_1,118.545,-2.606,4430.2,-2114.77656932508,3887.64939661694,-201.430560783578,2.93822033863968,9.05,,2020A&A...633A..99C
open cluster,Kharchenko_1,186.624,2.144,2228.5,-2212.07409544097,-256.884747042438,83.3706963865317,2.52815413933055,8.35,,2020A&A...633A..99C
open cluster,King_1,119.758,1.692,1825.1,-905.471012597162,1583.73236872748,53.8891416810976,4.93738269225455,9.7,,2020A&A...633A..99C
open cluster,King_10,108.493,-0.398,3478.1,-1103.18772958025,3298.41973255504,-24.1601157927861,2.36746793746518,7.825,,2020A&A...633A..99C
open cluster,King_11,117.151,6.484,3433.2,-1556.6751182326,3035.34447668205,387.6966909212,3.7150813705846,9.32,,2020A&A...633A..99C
open cluster,King_12,116.128,-0.145,3080.6,-1356.62404968467,2765.79224958306,-7.79615055400308,2.90339795825634,7.145,,2020A&A...633A..99C
open cluster,King_13,117.982,-1.3,3847.1,-1804.5722281083,3396.48047369055,-87.2804409878472,4.76726631756413,8.595,,2020A&A...633A..99C
open cluster,King_14,120.734,0.375,2318.8,-1185.00448801572,1993.07989809744,15.1764021586955,2.34730109410987,7.7,,2020A&A...633A..99C
open cluster,King_15,120.765,-0.941,2987.5,-1527.95411317951,2566.73046614747,-49.0631447034321,2.13781053243366,8.4,,2020A&A...633A..99C
open cluster,King_16,122.084,1.313,2805.2,-1489.62441157351,2376.13854508531,64.2788223610993,2.49695944447946,7.8,,2020A&A...633A..99C
open cluster,King_17,167.297,-0.745,3725.8,-3634.29646330819,819.224038606918,-48.444105463383,2.47104449860136,7.85,,2020A&A...633A..99C
open cluster,King_18,107.785,-1.032,2948.2,-900.36990762659,2806.84835916432,-53.0995112692449,2.52133466804756,8.525,,2020A&A...633A..99C
open cluster,King_19,110.563,0.155,2687.7,-944.016483739283,2516.44815209063,7.27091934877612,2.86146315379547,9.1,,2020A&A...633A..99C
open cluster,King_2,122.869,-4.684,5136,-2778.10108360136,4299.38929983881,-419.406744967782,4.57164683689096,9.67,,2020A&A...633A..99C
open cluster,King_20,112.839,-2.861,1903.8,-738.025572247444,1752.35356589181,-95.0246011046551,2.02688304207903,8.648,,2020A&A...633A..99C
open cluster,King_21,115.945,0.671,2994.5,-1310.02835775174,2692.5129839403,35.0682648443712,2.40413920129035,7.8,,2020A&A...633A..99C
open cluster,King_23,217.296,6.305,3245.2,-2565.99264889381,-1954.47947729061,356.391271880716,3.34172724941694,8.95,,2020A&A...633A..99C
open cluster,King_25,48.86,-0.934,2948.7,1939.69543515032,2220.38352404648,-48.0657362363504,2.67615596475528,8.45,,2020A&A...633A..99C
open cluster,King_26,50.417,-1.321,2256.2,1437.25805304643,1738.39646933495,-52.0138861937334,1.41761245555618,8.68,,2020A&A...633A..99C
open cluster,King_4,136.054,-1.155,2456.5,-1768.30635351441,1704.41574824326,-49.5161313205217,2.22944929203424,8.205,,2020A&A...633A..99C
open cluster,King_5,143.768,-4.281,2523.6,-2029.93282527049,1487.42797514877,-188.381802821371,4.00811010950532,9.09,,2020A&A...633A..99C
open cluster,King_6,143.345,-0.095,727.3,-583.471819624628,434.194048195713,-1.20590851418483,2.01831614535341,8.975,,2020A&A...633A..99C
open cluster,King_7,149.8,-1.017,3171.8,-2740.87498675857,1595.2273356146,-56.2964889591532,3.32150240703045,8.85,,2020A&A...633A..99C
open cluster,King_8,176.384,3.101,6241.1,-6219.55445308635,393.044931620194,337.620048014616,2.72319377147468,9.005,,2020A&A...633A..99C
open cluster,King_9,101.441,-1.828,6312.9,-1251.58173167138,6184.31055852362,-201.376499819876,3.08506517536802,9.5,,2020A&A...633A..99C
open cluster,Koposov_10,174.646,3.695,2789.2,-2771.25850978592,259.716436805949,179.750617222664,1.94722925621702,8.775,,2020A&A...633A..99C
open cluster,Koposov_12,176.155,6.013,2351.2,-2333.00088019495,156.798262025355,246.297864455671,3.20082412444004,8.91,,2020A&A...633A..99C
open cluster,Koposov_36,177.069,-0.403,1754.8,-1752.46108629595,89.7264809362594,-12.342594428092,1.96013122892288,8.445,,2020A&A...633A..99C
open cluster,Koposov_43,179.923,1.747,4787.5,-4785.27039346342,6.43094561683274,145.952575794055,2.75740235689741,9.115,,2020A&A...633A..99C
open cluster,Koposov_53,184.897,3.121,4788.7,-4764.14337243175,-408.179880974321,260.719776162905,3.25956519713047,8.055,,2020A&A...633A..99C
open cluster,Koposov_63,186.507,2.522,4259,-4227.46490265574,-482.181979437378,187.408739176515,3.1963442323253,9.22,,2020A&A...633A..99C
open cluster,Kronberger_1,173.106,0.049,2118.4,-2103.08302348417,254.277553374596,1.8116794679985,0.517622778541029,6.9,,2020A&A...633A..99C
open cluster,Kronberger_25,16.584,-0.467,3372.4,3232.00861149579,962.520937928294,-27.487074538143,0.412016387909751,7.7,,2020A&A...633A..99C
